"840_1 - RawData"
"Wavelength nm.","T%"
894.00,0.7765
896.00,0.5558
898.00,0.4191
900.00,0.3343
902.00,0.2785
904.00,0.2429
906.00,0.2177
908.00,0.2005
910.00,0.1875
912.00,0.1777
914.00,0.1710
916.00,0.1647
918.00,0.1614
920.00,0.1603
922.00,0.1592
924.00,0.1565
926.00,0.1531
928.00,0.1510
930.00,0.1508
932.00,0.1509
934.00,0.1508
936.00,0.1502
938.00,0.1486
940.00,0.1482
942.00,0.1487
944.00,0.1505
946.00,0.1512
948.00,0.1509
950.00,0.1494
952.00,0.1487
954.00,0.1492
956.00,0.1488
958.00,0.1486
960.00,0.1473
962.00,0.1478
964.00,0.1478
966.00,0.1475
968.00,0.1466
970.00,0.1459
972.00,0.1450
974.00,0.1440
976.00,0.1428
978.00,0.1421
980.00,0.1412
982.00,0.1408
984.00,0.1405
986.00,0.1397
988.00,0.1388
990.00,0.1385
992.00,0.1385
994.00,0.1389
996.00,0.1385
998.00,0.1387
1000.00,0.1391
1002.00,0.1395
1004.00,0.1404
1006.00,0.1416
1008.00,0.1434
1010.00,0.1448
1012.00,0.1466
1014.00,0.1488
1016.00,0.1510
1018.00,0.1531
1020.00,0.1546
1022.00,0.1563
1024.00,0.1573
1026.00,0.1578
1028.00,0.1580
1030.00,0.1581
1032.00,0.1581
1034.00,0.1577
1036.00,0.1569
1038.00,0.1562
1040.00,0.1552
1042.00,0.1545
1044.00,0.1539
1046.00,0.1532
1048.00,0.1525
1050.00,0.1515
1052.00,0.1508
1054.00,0.1499
1056.00,0.1492
1058.00,0.1486
1060.00,0.1484
1062.00,0.1483
1064.00,0.1482
1066.00,0.1481
1068.00,0.1482
1070.00,0.1485
1072.00,0.1490
1074.00,0.1498
1076.00,0.1508
1078.00,0.1524
1080.00,0.1543
1082.00,0.1565
1084.00,0.1584
1086.00,0.1610
1088.00,0.1637
1090.00,0.1669
1092.00,0.1701
1094.00,0.1738
1096.00,0.1773
1098.00,0.1804
1100.00,0.1836
1102.00,0.1867
1104.00,0.1896
1106.00,0.1923
1108.00,0.1947
1110.00,0.1971
1112.00,0.1991
1114.00,0.2010
1116.00,0.2029
1118.00,0.2055
1120.00,0.2085
1122.00,0.2117
1124.00,0.2151
1126.00,0.2191
1128.00,0.2243
1130.00,0.2307
1132.00,0.2386
1134.00,0.2487
1136.00,0.2617
1138.00,0.2778
1140.00,0.2984
1142.00,0.3247
1144.00,0.3606
1146.00,0.4086
1148.00,0.4765
1150.00,0.5716
1152.00,0.7112
1154.00,0.9266
1156.00,1.2844
1158.00,1.9300
1160.00,3.1589
1162.00,5.3171
1164.00,8.4479
1166.00,12.0457
1168.00,15.0735
1170.00,16.4650
1172.00,15.7731
1174.00,13.3765
1176.00,10.2684
1178.00,7.3921
1180.00,5.2911
1182.00,3.9855
1184.00,3.2352
1186.00,2.7814
1188.00,2.5016
1190.00,2.3325
1192.00,2.2413
1194.00,2.2075
1196.00,2.2226
1198.00,2.2840
1200.00,2.3935
1202.00,2.5562
1204.00,2.7805
1206.00,3.0786
1208.00,3.4694
1210.00,3.9639
1212.00,4.6150
1214.00,5.4511
1216.00,6.5647
1218.00,8.0188
1220.00,9.9379
1222.00,12.4107
1224.00,15.6018
1226.00,19.4728
1228.00,23.9778
1230.00,28.6785
1232.00,33.2079
1234.00,36.9327
1236.00,39.4853
1238.00,40.6001
1240.00,40.3851
1242.00,39.1506
1244.00,37.3119
1246.00,35.2362
1248.00,33.1619
1250.00,31.2094
1252.00,29.4271
1254.00,27.8467
1256.00,26.4566
1258.00,25.2092
1260.00,24.0242
1262.00,22.8647
1264.00,21.7064
1266.00,20.5425
1268.00,19.3735
1270.00,18.2153
1272.00,17.0898
1274.00,16.0052
1276.00,14.9729
1278.00,14.0011
1280.00,13.1106
1282.00,12.3192
1284.00,11.6322
1286.00,11.0394
1288.00,10.5293
1290.00,10.0991
1292.00,9.7410
1294.00,9.4574
1296.00,9.2424
1298.00,9.1009
1300.00,9.0260
1302.00,9.0094
1304.00,9.0550
1306.00,9.1707
1308.00,9.3783
1310.00,9.6841
1312.00,10.0882
1314.00,10.5958
1316.00,11.1991
1318.00,11.9294
1320.00,12.7876
1322.00,13.7871
1324.00,14.9183
1326.00,16.1527
1328.00,17.5038
1330.00,18.9399
1332.00,20.4488
1334.00,21.9347
1336.00,23.2935
1338.00,24.4034
1340.00,25.1984
1342.00,25.6317
1344.00,25.6908
1346.00,25.3642
1348.00,24.7153
1350.00,23.8076
1352.00,22.7366
1354.00,21.5766
1356.00,20.3979
1358.00,19.2496
1360.00,18.1590
1362.00,17.1564
1364.00,16.2662
1366.00,15.4959
1368.00,14.8649
1370.00,14.3523
1372.00,13.9558
1374.00,13.6548
1376.00,13.4471
