"holder - RawData"
"Wavelength nm.","T%"
896.00,52.1274
898.00,52.1239
900.00,52.1291
902.00,52.1329
904.00,52.1309
906.00,52.1430
908.00,52.1591
910.00,52.1834
912.00,52.1994
914.00,52.2156
916.00,52.2228
918.00,52.2338
920.00,52.2478
922.00,52.2730
924.00,52.2946
926.00,52.3096
928.00,52.3241
930.00,52.3359
932.00,52.3487
934.00,52.3578
936.00,52.3649
938.00,52.3679
940.00,52.3729
942.00,52.3814
944.00,52.4005
946.00,52.4173
948.00,52.4365
950.00,52.4476
952.00,52.4645
954.00,52.4798
956.00,52.5026
958.00,52.5241
960.00,52.5416
962.00,52.5581
964.00,52.5752
966.00,52.5969
968.00,52.6197
970.00,52.6260
972.00,52.6259
974.00,52.6236
976.00,52.6266
978.00,52.6316
980.00,52.6297
982.00,52.6325
984.00,52.6318
986.00,52.6374
988.00,52.6464
990.00,52.6574
992.00,52.6605
994.00,52.6628
996.00,52.6701
998.00,52.6815
1000.00,52.6879
1002.00,52.6881
1004.00,52.6826
1006.00,52.6833
1008.00,52.6881
1010.00,52.7001
1012.00,52.7108
1014.00,52.7219
1016.00,52.7237
1018.00,52.7300
1020.00,52.7355
1022.00,52.7526
1024.00,52.7570
1026.00,52.7662
1028.00,52.7696
1030.00,52.7861
1032.00,52.7964
1034.00,52.8148
1036.00,52.8299
1038.00,52.8468
1040.00,52.8609
1042.00,52.8654
1044.00,52.8750
1046.00,52.8793
1048.00,52.8911
1050.00,52.9047
1052.00,52.9205
1054.00,52.9269
1056.00,52.9225
1058.00,52.9175
1060.00,52.9132
1062.00,52.9098
1064.00,52.9098
1066.00,52.9118
1068.00,52.9103
1070.00,52.8971
1072.00,52.8881
1074.00,52.8926
1076.00,52.9100
1078.00,52.9301
1080.00,52.9504
1082.00,52.9725
1084.00,52.9985
1086.00,53.0158
1088.00,53.0298
1090.00,53.0341
1092.00,53.0390
1094.00,53.0409
1096.00,53.0487
1098.00,53.0529
1100.00,53.0580
1102.00,53.0549
1104.00,53.0619
1106.00,53.0683
1108.00,53.0819
1110.00,53.0784
1112.00,53.0717
1114.00,53.0721
1116.00,53.0880
1118.00,53.1089
1120.00,53.1154
1122.00,53.1186
1124.00,53.1188
1126.00,53.1214
1128.00,53.1240
1130.00,53.1223
1132.00,53.1254
1134.00,53.1258
1136.00,53.1287
1138.00,53.1283
1140.00,53.1275
1142.00,53.1377
1144.00,53.1532
