"from6 - RawData"
"Wavelength nm.","T%"
894.00,0.1371
896.00,0.1195
898.00,0.1064
900.00,0.0964
902.00,0.0906
904.00,0.0863
906.00,0.0841
908.00,0.0832
910.00,0.0828
912.00,0.0815
914.00,0.0816
916.00,0.0815
918.00,0.0834
920.00,0.0839
922.00,0.0855
924.00,0.0854
926.00,0.0872
928.00,0.0896
930.00,0.0939
932.00,0.0986
934.00,0.1011
936.00,0.1017
938.00,0.0996
940.00,0.0957
942.00,0.0901
944.00,0.0854
946.00,0.0824
948.00,0.0817
950.00,0.0808
952.00,0.0802
954.00,0.0793
956.00,0.0784
958.00,0.0783
960.00,0.0775
962.00,0.0772
964.00,0.0769
966.00,0.0771
968.00,0.0769
970.00,0.0772
972.00,0.0783
974.00,0.0802
976.00,0.0826
978.00,0.0853
980.00,0.0888
982.00,0.0924
984.00,0.0952
986.00,0.0964
988.00,0.0950
990.00,0.0920
992.00,0.0881
994.00,0.0843
996.00,0.0815
998.00,0.0790
1000.00,0.0778
1002.00,0.0767
1004.00,0.0765
1006.00,0.0761
1008.00,0.0761
1010.00,0.0758
1012.00,0.0761
1014.00,0.0763
1016.00,0.0771
1018.00,0.0773
1020.00,0.0775
1022.00,0.0778
1024.00,0.0792
1026.00,0.0823
1028.00,0.0877
1030.00,0.0965
1032.00,0.1078
1034.00,0.1178
1036.00,0.1222
1038.00,0.1184
1040.00,0.1091
1042.00,0.0974
1044.00,0.0882
1046.00,0.0818
1048.00,0.0789
1050.00,0.0771
1052.00,0.0763
1054.00,0.0758
1056.00,0.0761
1058.00,0.0758
1060.00,0.0757
1062.00,0.0750
1064.00,0.0750
1066.00,0.0748
1068.00,0.0749
1070.00,0.0750
1072.00,0.0751
1074.00,0.0753
1076.00,0.0752
1078.00,0.0753
1080.00,0.0756
1082.00,0.0756
1084.00,0.0757
1086.00,0.0758
1088.00,0.0759
1090.00,0.0761
1092.00,0.0762
1094.00,0.0766
1096.00,0.0768
1098.00,0.0770
1100.00,0.0773
1102.00,0.0776
1104.00,0.0782
1106.00,0.0793
1108.00,0.0812
1110.00,0.0844
1112.00,0.0900
1114.00,0.0987
1116.00,0.1094
1118.00,0.1198
1120.00,0.1259
1122.00,0.1255
1124.00,0.1187
1126.00,0.1082
1128.00,0.0979
1130.00,0.0900
1132.00,0.0849
1134.00,0.0817
1136.00,0.0794
1138.00,0.0781
1140.00,0.0771
1142.00,0.0767
1144.00,0.0762
1146.00,0.0758
1148.00,0.0758
1150.00,0.0754
1152.00,0.0751
1154.00,0.0745
1156.00,0.0743
1158.00,0.0740
1160.00,0.0737
1162.00,0.0737
1164.00,0.0738
1166.00,0.0738
1168.00,0.0739
1170.00,0.0742
1172.00,0.0745
1174.00,0.0750
1176.00,0.0758
1178.00,0.0771
1180.00,0.0781
1182.00,0.0794
1184.00,0.0806
1186.00,0.0821
1188.00,0.0836
1190.00,0.0851
1192.00,0.0861
1194.00,0.0866
1196.00,0.0869
1198.00,0.0869
1200.00,0.0866
1202.00,0.0862
1204.00,0.0859
1206.00,0.0857
1208.00,0.0853
1210.00,0.0849
1212.00,0.0846
1214.00,0.0848
1216.00,0.0850
1218.00,0.0851
1220.00,0.0852
1222.00,0.0852
1224.00,0.0857
1226.00,0.0857
1228.00,0.0861
1230.00,0.0862
1232.00,0.0867
1234.00,0.0870
1236.00,0.0874
1238.00,0.0878
1240.00,0.0884
1242.00,0.0891
1244.00,0.0897
1246.00,0.0902
1248.00,0.0908
1250.00,0.0914
1252.00,0.0923
1254.00,0.0931
1256.00,0.0939
1258.00,0.0945
1260.00,0.0954
1262.00,0.0963
1264.00,0.0971
1266.00,0.0976
1268.00,0.0982
1270.00,0.0991
1272.00,0.1002
1274.00,0.1010
1276.00,0.1018
1278.00,0.1023
1280.00,0.1029
1282.00,0.1038
1284.00,0.1046
1286.00,0.1053
1288.00,0.1057
1290.00,0.1059
1292.00,0.1063
1294.00,0.1062
1296.00,0.1064
1298.00,0.1063
1300.00,0.1064
1302.00,0.1064
1304.00,0.1064
1306.00,0.1062
1308.00,0.1061
1310.00,0.1060
1312.00,0.1064
1314.00,0.1067
1316.00,0.1073
1318.00,0.1078
1320.00,0.1087
1322.00,0.1097
1324.00,0.1111
1326.00,0.1119
1328.00,0.1128
1330.00,0.1138
1332.00,0.1148
1334.00,0.1160
1336.00,0.1171
1338.00,0.1188
1340.00,0.1203
1342.00,0.1217
1344.00,0.1230
1346.00,0.1250
1348.00,0.1275
1350.00,0.1301
1352.00,0.1330
1354.00,0.1362
1356.00,0.1396
1358.00,0.1425
1360.00,0.1452
1362.00,0.1474
1364.00,0.1495
1366.00,0.1512
1368.00,0.1528
1370.00,0.1545
1372.00,0.1563
1374.00,0.1582
1376.00,0.1601
1378.00,0.1623
1380.00,0.1651
1382.00,0.1689
1384.00,0.1736
1386.00,0.1793
1388.00,0.1857
1390.00,0.1929
1392.00,0.2012
1394.00,0.2099
1396.00,0.2189
1398.00,0.2271
1400.00,0.2350
1402.00,0.2421
1404.00,0.2487
1406.00,0.2546
1408.00,0.2594
1410.00,0.2636
1412.00,0.2673
1414.00,0.2706
1416.00,0.2737
1418.00,0.2767
1420.00,0.2798
1422.00,0.2829
1424.00,0.2860
1426.00,0.2890
1428.00,0.2921
1430.00,0.2948
1432.00,0.2979
1434.00,0.3008
1436.00,0.3038
1438.00,0.3069
1440.00,0.3099
1442.00,0.3128
1444.00,0.3153
1446.00,0.3180
1448.00,0.3203
1450.00,0.3224
1452.00,0.3240
1454.00,0.3254
1456.00,0.3262
1458.00,0.3266
1460.00,0.3270
1462.00,0.3270
1464.00,0.3272
1466.00,0.3270
1468.00,0.3270
1470.00,0.3272
1472.00,0.3275
1474.00,0.3281
1476.00,0.3286
1478.00,0.3295
1480.00,0.3307
1482.00,0.3322
1484.00,0.3335
1486.00,0.3348
1488.00,0.3362
1490.00,0.3378
1492.00,0.3397
1494.00,0.3416
1496.00,0.3440
1498.00,0.3465
1500.00,0.3488
1502.00,0.3514
1504.00,0.3542
1506.00,0.3575
1508.00,0.3613
1510.00,0.3657
1512.00,0.3701
1514.00,0.3750
1516.00,0.3807
1518.00,0.3875
1520.00,0.3954
1522.00,0.4031
1524.00,0.4123
1526.00,0.4224
1528.00,0.4347
1530.00,0.4484
1532.00,0.4637
1534.00,0.4804
1536.00,0.4979
1538.00,0.5170
1540.00,0.5371
1542.00,0.5589
1544.00,0.5820
1546.00,0.6064
1548.00,0.6312
1550.00,0.6557
1552.00,0.6797
1554.00,0.7031
1556.00,0.7253
1558.00,0.7460
1560.00,0.7652
1562.00,0.7827
1564.00,0.7989
1566.00,0.8128
1568.00,0.8261
1570.00,0.8388
1572.00,0.8513
1574.00,0.8638
1576.00,0.8769
1578.00,0.8913
1580.00,0.9068
1582.00,0.9244
1584.00,0.9448
1586.00,0.9685
1588.00,0.9953
1590.00,1.0259
1592.00,1.0611
1594.00,1.1015
1596.00,1.1470
1598.00,1.1993
1600.00,1.2598
1602.00,1.3300
1604.00,1.4106
1606.00,1.5051
1608.00,1.6165
1610.00,1.7501
1612.00,1.9087
1614.00,2.0959
1616.00,2.3148
1618.00,2.5735
1620.00,2.8860
1622.00,3.2751
1624.00,3.7558
1626.00,4.3428
1628.00,5.0417
1630.00,5.8747
1632.00,6.8809
1634.00,8.1325
1636.00,9.7005
1638.00,11.6285
1640.00,13.9645
1642.00,16.6981
1644.00,19.8640
1646.00,23.3713
1648.00,27.2260
1650.00,30.6175
1652.00,33.8167
1654.00,36.7263
1656.00,39.7676
1658.00,42.4571
1660.00,44.6477
1662.00,46.1918
1664.00,46.9331
1666.00,47.1621
1668.00,47.0510
1670.00,47.2282
1672.00,47.3991
1674.00,47.7156
1676.00,47.5283
1678.00,47.7105
1680.00,47.7544
1682.00,48.1470
1684.00,47.8252
1686.00,47.5883
1688.00,47.4444
1690.00,47.2047
1692.00,46.6925
1694.00,45.8281
1696.00,45.0704
1698.00,44.4638
1700.00,44.0474
1702.00,43.6519
1704.00,42.8040
1706.00,42.4117
1708.00,42.5839
1710.00,43.0145
1712.00,43.2396
1714.00,42.8924
1716.00,43.9878
1718.00,45.3510
1720.00,46.3690
1722.00,45.7199
1724.00,43.6331
1726.00,41.7053
1728.00,38.8263
1730.00,35.1763
1732.00,29.9526
1734.00,24.9981
1736.00,19.8970
1738.00,15.7350
1740.00,11.3684
1742.00,7.9203
1744.00,4.5658
1746.00,2.0906
1748.00,0.2848
1750.00,-0.8327
1752.00,-1.5475
1754.00,-2.4131
1756.00,-3.4422
1758.00,-4.5925
1760.00,-4.7761
1762.00,-4.5789
1764.00,-4.4171
1766.00,-5.1253
1768.00,-5.5839
1770.00,-6.2331
1772.00,-6.4284
1774.00,-6.4095
1776.00,-5.9219
1778.00,-5.7744
1780.00,-6.0594
1782.00,-6.2610
1784.00,-6.3574
1786.00,-6.1925
1788.00,-6.3120
1790.00,-6.4396
1792.00,-6.6268
1794.00,-6.7023
1796.00,-6.4579
1798.00,-6.6348
1800.00,-6.7682
1802.00,-6.8970
1804.00,-7.2328
1806.00,-7.3924
1808.00,-7.2586
1810.00,-7.0721
1812.00,-7.3399
1814.00,-7.8031
1816.00,-7.6754
1818.00,-7.4555
1820.00,-6.7614
1822.00,-6.4956
1824.00,-5.9126
1826.00,-6.0295
1828.00,-6.0007
1830.00,-6.3288
1832.00,-6.8741
1834.00,-7.0000
1836.00,-7.0225
1838.00,-6.8556
1840.00,-6.9312
1842.00,-6.7729
1844.00,-7.1768
1846.00,-6.8118
1848.00,-6.7904
1850.00,-6.3255
1852.00,-6.7468
1854.00,-6.6534
1856.00,-6.7890
1858.00,-6.6506
1860.00,-6.8473
1862.00,-6.4939
1864.00,-6.3613
1866.00,-5.8134
1868.00,-5.6410
1870.00,-5.9189
1872.00,-6.8058
1874.00,-7.1636
1876.00,-7.0726
1878.00,-6.7747
1880.00,-6.9823
1882.00,-6.7648
1884.00,-6.7257
1886.00,-6.4389
1888.00,-6.8289
1890.00,-6.4382
1892.00,-6.3621
1894.00,-6.1797
1896.00,-6.5835
1898.00,-6.9948
1900.00,-6.3414
1902.00,-6.1438
1904.00,-5.8286
1906.00,-6.6194
1908.00,-6.8923
1910.00,-7.2751
1912.00,-7.9671
1914.00,-7.6696
1916.00,-7.4171
1918.00,-6.8314
1920.00,-6.9879
1922.00,-6.9288
1924.00,-6.5193
1926.00,-6.3720
1928.00,-6.4397
1930.00,-6.7981
1932.00,-6.7268
1934.00,-6.4068
1936.00,-5.8981
1938.00,-6.2246
1940.00,-6.3530
1942.00,-6.7975
1944.00,-6.6049
1946.00,-6.8830
1948.00,-7.3240
1950.00,-7.3341
1952.00,-7.0560
1954.00,-6.5397
1956.00,-6.2947
1958.00,-6.5998
1960.00,-6.4668
1962.00,-6.9008
1964.00,-6.1908
1966.00,-6.0252
1968.00,-5.5680
1970.00,-6.3878
1972.00,-6.8488
1974.00,-6.7864
1976.00,-6.6090
1978.00,-6.2821
1980.00,-6.4690
1982.00,-6.1891
1984.00,-5.9099
1986.00,-6.1817
1988.00,-6.1498
1990.00,-6.3405
1992.00,-6.3725
1994.00,-6.6460
1996.00,-6.7542
1998.00,-6.9648
2000.00,-6.7539
2002.00,-6.7728
2004.00,-6.3359
2006.00,-6.7096
2008.00,-7.0747
2010.00,-7.4147
2012.00,-7.2835
2014.00,-6.7977
2016.00,-6.5944
2018.00,-6.7296
2020.00,-7.4776
2022.00,-7.7758
2024.00,-7.4190
2026.00,-6.8924
2028.00,-6.6570
2030.00,-6.9806
2032.00,-6.7985
2034.00,-7.4791
2036.00,-7.6284
2038.00,-7.9298
2040.00,-7.3292
2042.00,-7.0160
2044.00,-7.1046
2046.00,-6.5612
2048.00,-6.2587
2050.00,-5.7419
2052.00,-5.6901
2054.00,-5.8234
2056.00,-5.4256
2058.00,-5.9945
2060.00,-6.1274
2062.00,-6.8096
2064.00,-6.2721
2066.00,-6.0651
2068.00,-5.8938
2070.00,-6.7854
2072.00,-6.3151
2074.00,-6.7952
2076.00,-5.8436
2078.00,-5.4838
2080.00,-4.7016
2082.00,-5.1101
2084.00,-5.6121
2086.00,-5.8743
2088.00,-6.0237
2090.00,-6.3450
2092.00,-5.9913
2094.00,-5.7654
2096.00,-6.1898
2098.00,-6.9976
2100.00,-6.6304
2102.00,-6.1422
2104.00,-5.6011
2106.00,-6.5768
2108.00,-6.1781
2110.00,-6.6151
2112.00,-6.1944
2114.00,-7.0047
2116.00,-7.2009
2118.00,-6.7857
2120.00,-6.9621
2122.00,-6.2826
2124.00,-6.8665
2126.00,-6.4748
2128.00,-7.0538
2130.00,-6.3563
2132.00,-6.1975
2134.00,-5.7537
2136.00,-6.4176
2138.00,-6.5339
2140.00,-6.6236
2142.00,-6.4439
2144.00,-6.6228
2146.00,-7.2010
2148.00,-7.1674
2150.00,-6.8555
2152.00,-6.6496
2154.00,-6.4458
2156.00,-6.3122
2158.00,-6.0329
2160.00,-6.3335
2162.00,-6.1393
2164.00,-5.7250
2166.00,-5.8661
2168.00,-7.1370
2170.00,-7.8053
2172.00,-7.5414
2174.00,-6.1705
2176.00,-5.2457
2178.00,-5.1434
2180.00,-6.2872
2182.00,-6.5279
2184.00,-6.4173
2186.00,-5.7270
2188.00,-5.9297
2190.00,-5.7732
2192.00,-5.2187
2194.00,-5.6222
2196.00,-5.4872
2198.00,-6.4947
2200.00,-6.4573
2202.00,-6.7223
2204.00,-6.7318
2206.00,-6.9783
2208.00,-6.6058
2210.00,-5.3336
2212.00,-4.3522
2214.00,-4.9607
2216.00,-5.3080
2218.00,-6.0724
2220.00,-5.0399
2222.00,-5.4472
2224.00,-5.1291
2226.00,-5.5897
2228.00,-5.6289
2230.00,-6.0616
2232.00,-5.9012
2234.00,-5.3036
2236.00,-4.8028
2238.00,-4.9895
2240.00,-5.0986
2242.00,-4.1246
2244.00,-4.0200
2246.00,-3.8367
2248.00,-3.9926
2250.00,-3.9444
2252.00,-4.1320
2254.00,-4.3576
2256.00,-4.6898
2258.00,-4.4564
2260.00,-5.1747
2262.00,-4.7038
2264.00,-4.3719
2266.00,-3.6731
2268.00,-3.9258
2270.00,-3.6674
2272.00,-3.0075
2274.00,-2.2628
2276.00,-2.0036
2278.00,-1.9017
2280.00,-1.6491
2282.00,-1.7979
2284.00,-1.6063
2286.00,-1.6808
2288.00,-1.4532
2290.00,-0.8985
2292.00,-0.2644
2294.00,0.1767
2296.00,0.1136
2298.00,0.6957
2300.00,1.8081
2302.00,2.4197
2304.00,3.2372
2306.00,3.5530
2308.00,4.7221
2310.00,5.6758
2312.00,6.5218
2314.00,7.1593
2316.00,7.3894
2318.00,7.9364
2320.00,8.5175
2322.00,9.5956
2324.00,11.7424
2326.00,13.5052
2328.00,15.2045
2330.00,16.0029
2332.00,16.6833
2334.00,17.8346
2336.00,18.6662
2338.00,21.6706
2340.00,22.6100
2342.00,23.4517
2344.00,21.9396
2346.00,22.8231
2348.00,24.9710
2350.00,25.8956
2352.00,26.5827
2354.00,25.3137
2356.00,25.8782
2358.00,25.1327
2360.00,26.1438
2362.00,27.0424
2364.00,27.3394
2366.00,27.4660
2368.00,26.4317
2370.00,26.6162
2372.00,26.8673
2374.00,25.8549
2376.00,25.6956
2378.00,23.8556
2380.00,24.6862
2382.00,24.6849
2384.00,24.1082
2386.00,24.2174
2388.00,24.6759
2390.00,25.0108
2392.00,23.6492
2394.00,21.8372
2396.00,21.6418
