"1180_2 - RawData"
"Wavelength nm.","T%"
190.00,0.0211
192.00,0.0223
194.00,0.0241
196.00,0.0253
198.00,0.0256
200.00,0.0254
202.00,0.0251
204.00,0.0252
206.00,0.0259
208.00,0.0272
210.00,0.0270
212.00,0.0270
214.00,0.0269
216.00,0.0281
218.00,0.0277
220.00,0.0276
222.00,0.0269
224.00,0.0268
226.00,0.0268
228.00,0.0268
230.00,0.0275
232.00,0.0275
234.00,0.0277
236.00,0.0274
238.00,0.0274
240.00,0.0271
242.00,0.0275
244.00,0.0280
246.00,0.0280
248.00,0.0281
250.00,0.0273
252.00,0.0273
254.00,0.0273
256.00,0.0278
258.00,0.0281
260.00,0.0281
262.00,0.0278
264.00,0.0276
266.00,0.0272
268.00,0.0274
270.00,0.0270
272.00,0.0270
274.00,0.0269
276.00,0.0272
278.00,0.0275
280.00,0.0271
282.00,0.0270
284.00,0.0267
286.00,0.0267
288.00,0.0269
290.00,0.0267
292.00,0.0269
294.00,0.0239
296.00,0.0215
298.00,0.0189
300.00,0.0196
302.00,0.0199
304.00,0.0213
306.00,0.0208
308.00,0.0197
310.00,0.0182
312.00,0.0184
314.00,0.0185
316.00,0.0189
318.00,0.0184
320.00,0.0187
322.00,0.0184
324.00,0.0186
326.00,0.0184
328.00,0.0185
330.00,0.0183
332.00,0.0190
334.00,0.0189
336.00,0.0191
338.00,0.0185
340.00,0.0191
342.00,0.0191
344.00,0.0188
346.00,0.0183
348.00,0.0182
350.00,0.0190
352.00,0.0188
354.00,0.0187
356.00,0.0184
358.00,0.0187
360.00,0.0191
362.00,0.0191
364.00,0.0188
366.00,0.0194
368.00,0.0200
370.00,0.0193
372.00,0.0187
374.00,0.0188
376.00,0.0197
378.00,0.0195
380.00,0.0185
382.00,0.0186
384.00,0.0180
386.00,0.0181
388.00,0.0176
390.00,0.0185
392.00,0.0186
394.00,0.0184
396.00,0.0181
398.00,0.0181
400.00,0.0184
402.00,0.0185
404.00,0.0190
406.00,0.0192
408.00,0.0192
410.00,0.0189
412.00,0.0182
414.00,0.0179
416.00,0.0182
418.00,0.0190
420.00,0.0188
422.00,0.0172
424.00,0.0169
426.00,0.0177
428.00,0.0194
430.00,0.0199
432.00,0.0200
434.00,0.0199
436.00,0.0190
438.00,0.0185
440.00,0.0174
442.00,0.0175
444.00,0.0173
446.00,0.0181
448.00,0.0180
450.00,0.0181
452.00,0.0176
454.00,0.0176
456.00,0.0175
458.00,0.0176
460.00,0.0181
462.00,0.0181
464.00,0.0180
466.00,0.0180
468.00,0.0181
470.00,0.0181
472.00,0.0178
474.00,0.0185
476.00,0.0185
478.00,0.0188
480.00,0.0185
482.00,0.0186
484.00,0.0190
486.00,0.0182
488.00,0.0181
490.00,0.0174
492.00,0.0173
494.00,0.0170
496.00,0.0171
498.00,0.0177
500.00,0.0181
502.00,0.0180
504.00,0.0180
506.00,0.0182
508.00,0.0180
510.00,0.0178
512.00,0.0180
514.00,0.0181
516.00,0.0180
518.00,0.0171
520.00,0.0172
522.00,0.0169
524.00,0.0176
526.00,0.0177
528.00,0.0184
530.00,0.0184
532.00,0.0186
534.00,0.0178
536.00,0.0173
538.00,0.0168
540.00,0.0166
542.00,0.0165
544.00,0.0161
546.00,0.0167
548.00,0.0167
550.00,0.0173
552.00,0.0170
554.00,0.0175
556.00,0.0174
558.00,0.0173
560.00,0.0173
562.00,0.0176
564.00,0.0180
566.00,0.0176
568.00,0.0172
570.00,0.0170
572.00,0.0173
574.00,0.0172
576.00,0.0172
578.00,0.0166
580.00,0.0166
582.00,0.0170
584.00,0.0176
586.00,0.0177
588.00,0.0172
590.00,0.0168
592.00,0.0169
594.00,0.0170
596.00,0.0172
598.00,0.0169
600.00,0.0168
602.00,0.0168
604.00,0.0171
606.00,0.0169
608.00,0.0172
610.00,0.0174
612.00,0.0174
614.00,0.0174
616.00,0.0164
618.00,0.0167
620.00,0.0166
622.00,0.0173
624.00,0.0177
626.00,0.0176
628.00,0.0179
630.00,0.0183
632.00,0.0180
634.00,0.0180
636.00,0.0176
638.00,0.0182
640.00,0.0190
642.00,0.0198
644.00,0.0205
646.00,0.0204
648.00,0.0203
650.00,0.0206
652.00,0.0203
654.00,0.0210
656.00,0.0205
658.00,0.0222
660.00,0.0230
662.00,0.0241
664.00,0.0247
666.00,0.0253
668.00,0.0253
670.00,0.0249
672.00,0.0244
674.00,0.0256
676.00,0.0262
678.00,0.0267
680.00,0.0272
682.00,0.0278
684.00,0.0285
686.00,0.0291
688.00,0.0301
690.00,0.0312
692.00,0.0330
694.00,0.0355
696.00,0.0387
698.00,0.0420
700.00,0.0459
702.00,0.0508
704.00,0.0575
706.00,0.0650
708.00,0.0744
710.00,0.0836
712.00,0.0930
714.00,0.1006
716.00,0.1071
718.00,0.1116
720.00,0.1185
722.00,0.1236
724.00,0.1299
726.00,0.1334
728.00,0.1399
730.00,0.1476
732.00,0.1590
734.00,0.1751
736.00,0.1979
738.00,0.2288
740.00,0.2673
742.00,0.3161
744.00,0.3721
746.00,0.4322
748.00,0.4857
750.00,0.5249
752.00,0.5432
754.00,0.5401
756.00,0.5188
758.00,0.4861
760.00,0.4481
762.00,0.4097
764.00,0.3739
766.00,0.3419
768.00,0.3133
770.00,0.2867
772.00,0.2603
774.00,0.2335
776.00,0.2067
778.00,0.1811
780.00,0.1575
782.00,0.1358
784.00,0.1171
786.00,0.1016
788.00,0.0889
790.00,0.0784
792.00,0.0702
794.00,0.0639
796.00,0.0589
798.00,0.0552
800.00,0.0518
802.00,0.0488
804.00,0.0464
