LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,28-Sep-2023 14:30:30,0                 
Time,Ampl
1.7119619e-06,-0.0151998
1.7120119e-06,-0.0142635
1.7120619e-06,-0.0149501
1.7121119e-06,-0.0160113
1.7121619e-06,-0.0163789
1.7122119e-06,-0.0161084
1.7122619e-06,-0.01572
1.7123119e-06,-0.0152206
1.7123619e-06,-0.0144924
1.7124119e-06,-0.0140138
1.7124619e-06,-0.0145964
1.7125119e-06,-0.0162679
1.7125619e-06,-0.0178215
1.7126119e-06,-0.0178354
1.7126619e-06,-0.0162055
1.7127119e-06,-0.014423
1.7127619e-06,-0.013778
1.7128119e-06,-0.013882
1.7128619e-06,-0.0135768
1.7129119e-06,-0.0126821
1.7129619e-06,-0.0122729
1.7130119e-06,-0.012911
1.7130619e-06,-0.0137849
1.7131119e-06,-0.0139652
1.7131619e-06,-0.0139583
1.7132119e-06,-0.0148738
1.7132619e-06,-0.0165662
1.7133119e-06,-0.0177175
1.7133619e-06,-0.0178424
1.7134119e-06,-0.0179048
1.7134619e-06,-0.0187232
1.7135119e-06,-0.0196318
1.7135619e-06,-0.019389
1.7136119e-06,-0.0179603
1.7136619e-06,-0.0165176
1.7137119e-06,-0.0157755
1.7137619e-06,-0.0154495
1.7138119e-06,-0.0150958
1.7138619e-06,-0.0149362
1.7139119e-06,-0.0154287
1.7139619e-06,-0.0164136
1.7140119e-06,-0.0172736
1.7140619e-06,-0.017336
1.7141119e-06,-0.0163997
1.7141619e-06,-0.0151235
1.7142119e-06,-0.0145686
1.7142619e-06,-0.0148738
1.7143119e-06,-0.0147698
1.7143619e-06,-0.0133618
1.7144119e-06,-0.0120718
1.7144619e-06,-0.0133202
1.7145119e-06,-0.0170101
1.7145619e-06,-0.0197774
1.7146119e-06,-0.0189451
1.7146619e-06,-0.0159211
1.7147119e-06,-0.0142427
1.7147619e-06,-0.0150195
1.7148119e-06,-0.0161639
1.7148619e-06,-0.0159836
1.7149119e-06,-0.0156784
1.7149619e-06,-0.0172251
1.7150119e-06,-0.0200341
1.7150619e-06,-0.0213172
1.7151119e-06,-0.0194931
1.7151619e-06,-0.016039
1.7152119e-06,-0.0138057
1.7152619e-06,-0.0143328
1.7153119e-06,-0.0167812
1.7153619e-06,-0.0190839
1.7154119e-06,-0.0198884
1.7154619e-06,-0.0195486
1.7155119e-06,-0.0190145
1.7155619e-06,-0.0184943
1.7156119e-06,-0.017773
1.7156619e-06,-0.0174401
1.7157119e-06,-0.018092
1.7157619e-06,-0.0187648
1.7158119e-06,-0.0179741
1.7158619e-06,-0.0162332
1.7159119e-06,-0.0156784
1.7159619e-06,-0.0170794
1.7160119e-06,-0.0188203
1.7160619e-06,-0.0191532
1.7161119e-06,-0.0180157
1.7161619e-06,-0.0165107
1.7162119e-06,-0.0158379
1.7162619e-06,-0.0165523
1.7163119e-06,-0.0179533
1.7163619e-06,-0.0185221
1.7164119e-06,-0.0178632
1.7164619e-06,-0.0175788
1.7165119e-06,-0.0190214
1.7165619e-06,-0.0211577
1.7166119e-06,-0.0217125
1.7166619e-06,-0.0200757
1.7167119e-06,-0.0179048
1.7167619e-06,-0.0169754
1.7168119e-06,-0.0173777
1.7168619e-06,-0.0179949
1.7169119e-06,-0.0182099
1.7169619e-06,-0.018425
1.7170119e-06,-0.0191532
1.7170619e-06,-0.0198121
1.7171119e-06,-0.0191393
1.7171619e-06,-0.0168297
1.7172119e-06,-0.0145617
1.7172619e-06,-0.0145478
1.7173119e-06,-0.016795
1.7173619e-06,-0.0186746
1.7174119e-06,-0.0180227
1.7174619e-06,-0.015824
1.7175119e-06,-0.0147698
1.7175619e-06,-0.0155189
1.7176119e-06,-0.0163303
1.7176619e-06,-0.0161916
1.7177119e-06,-0.016261
1.7177619e-06,-0.0173846
1.7178119e-06,-0.0182308
1.7178619e-06,-0.0173985
1.7179119e-06,-0.0158032
1.7179619e-06,-0.0154356
1.7180119e-06,-0.0166494
1.7180619e-06,-0.0178215
1.7181119e-06,-0.0175996
1.7181619e-06,-0.0164205
1.7182119e-06,-0.0157131
1.7182619e-06,-0.0160668
1.7183119e-06,-0.0167604
1.7183619e-06,-0.0170794
1.7184119e-06,-0.0172112
1.7184619e-06,-0.0174609
1.7185119e-06,-0.017558
1.7185619e-06,-0.0172875
1.7186119e-06,-0.0172459
1.7186619e-06,-0.0179395
1.7187119e-06,-0.0187509
1.7187619e-06,-0.0187093
1.7188119e-06,-0.0179048
1.7188619e-06,-0.0171002
1.7189119e-06,-0.0166216
1.7189619e-06,-0.0164274
1.7190119e-06,-0.0166355
1.7190619e-06,-0.0170309
1.7191119e-06,-0.0168159
1.7191619e-06,-0.0157408
1.7192119e-06,-0.0149709
1.7192619e-06,-0.0156922
1.7193119e-06,-0.017336
1.7193619e-06,-0.0181891
1.7194119e-06,-0.0175649
1.7194619e-06,-0.01658
1.7195119e-06,-0.0166147
1.7195619e-06,-0.0174886
1.7196119e-06,-0.0176135
1.7196619e-06,-0.0160529
1.7197119e-06,-0.0139306
1.7197619e-06,-0.0132925
1.7198119e-06,-0.0147837
1.7198619e-06,-0.0170447
1.7199119e-06,-0.0183625
1.7199619e-06,-0.018203
1.7200119e-06,-0.0171488
1.7200619e-06,-0.016039
1.7201119e-06,-0.0154634
1.7201619e-06,-0.0155327
1.7202119e-06,-0.0159003
1.7202619e-06,-0.0163997
1.7203119e-06,-0.0171141
1.7203619e-06,-0.0178007
1.7204119e-06,-0.0177869
1.7204619e-06,-0.0168852
1.7205119e-06,-0.0160252
1.7205619e-06,-0.0163026
1.7206119e-06,-0.0174539
1.7206619e-06,-0.0180019
1.7207119e-06,-0.0170031
1.7207619e-06,-0.0153593
1.7208119e-06,-0.0150125
1.7208619e-06,-0.0166633
1.7209119e-06,-0.0187787
1.7209619e-06,-0.0190631
1.7210119e-06,-0.0168367
1.7210619e-06,-0.0139306
1.7211119e-06,-0.0132578
1.7211619e-06,-0.0158448
1.7212119e-06,-0.0193058
1.7212619e-06,-0.0201867
1.7213119e-06,-0.0178077
1.7213619e-06,-0.0150472
1.7214119e-06,-0.0148669
1.7214619e-06,-0.0171557
1.7215119e-06,-0.0194376
1.7215619e-06,-0.0199716
1.7216119e-06,-0.0191463
1.7216619e-06,-0.0180227
1.7217119e-06,-0.0168297
1.7217619e-06,-0.0156229
1.7218119e-06,-0.0151721
1.7218619e-06,-0.016046
1.7219119e-06,-0.017128
1.7219619e-06,-0.0168089
1.7220119e-06,-0.0153108
1.7220619e-06,-0.0145756
1.7221119e-06,-0.0154079
1.7221619e-06,-0.0163581
1.7222119e-06,-0.0159489
1.7222619e-06,-0.0150472
1.7223119e-06,-0.0155674
1.7223619e-06,-0.0174678
1.7224119e-06,-0.0186816
1.7224619e-06,-0.0181683
1.7225119e-06,-0.0172251
1.7225619e-06,-0.0173222
1.7226119e-06,-0.0181198
1.7226619e-06,-0.0185637
1.7227119e-06,-0.018633
1.7227619e-06,-0.0189451
1.7228119e-06,-0.0194307
1.7228619e-06,-0.0195832
1.7229119e-06,-0.0194098
1.7229619e-06,-0.0191185
1.7230119e-06,-0.0184458
1.7230619e-06,-0.0169962
1.7231119e-06,-0.0154079
1.7231619e-06,-0.0150125
1.7232119e-06,-0.0160945
1.7232619e-06,-0.0174054
1.7233119e-06,-0.0177869
1.7233619e-06,-0.0175372
1.7234119e-06,-0.0178146
1.7234619e-06,-0.0190631
1.7235119e-06,-0.0204849
1.7235619e-06,-0.0209635
1.7236119e-06,-0.0202005
1.7236619e-06,-0.0188966
1.7237119e-06,-0.018099
1.7237619e-06,-0.0183001
1.7238119e-06,-0.0191255
1.7238619e-06,-0.0195486
1.7239119e-06,-0.0185914
1.7239619e-06,-0.0164274
1.7240119e-06,-0.0146519
1.7240619e-06,-0.0146866
1.7241119e-06,-0.0161292
1.7241619e-06,-0.0172389
1.7242119e-06,-0.0172251
1.7242619e-06,-0.017128
1.7243119e-06,-0.017884
1.7243619e-06,-0.0189729
1.7244119e-06,-0.0194653
1.7244619e-06,-0.0192919
1.7245119e-06,-0.0186538
1.7245619e-06,-0.0172875
1.7246119e-06,-0.0154218
1.7246619e-06,-0.0145617
1.7247119e-06,-0.0158865
1.7247619e-06,-0.0181406
1.7248119e-06,-0.0186608
1.7248619e-06,-0.0167326
1.7249119e-06,-0.0148391
1.7249619e-06,-0.0156922
1.7250119e-06,-0.0186816
1.7250619e-06,-0.020471
1.7251119e-06,-0.018959
1.7251619e-06,-0.0156922
1.7252119e-06,-0.0138404
1.7252619e-06,-0.0144369
1.7253119e-06,-0.0158102
1.7253619e-06,-0.0164274
1.7254119e-06,-0.0167187
1.7254619e-06,-0.0174401
1.7255119e-06,-0.0178007
1.7255619e-06,-0.016802
1.7256119e-06,-0.0153732
1.7256619e-06,-0.0155813
1.7257119e-06,-0.0176204
1.7257619e-06,-0.0194723
1.7258119e-06,-0.0195555
1.7258619e-06,-0.0184735
1.7259119e-06,-0.0177106
1.7259619e-06,-0.0176898
1.7260119e-06,-0.0178077
1.7260619e-06,-0.0175927
1.7261119e-06,-0.0173638
1.7261619e-06,-0.017669
1.7262119e-06,-0.0184458
1.7262619e-06,-0.0188342
1.7263119e-06,-0.0181406
1.7263619e-06,-0.0169407
1.7264119e-06,-0.0168228
1.7264619e-06,-0.0183348
1.7265119e-06,-0.0199023
1.7265619e-06,-0.0195208
1.7266119e-06,-0.0176273
1.7266619e-06,-0.0168644
1.7267119e-06,-0.0186053
1.7267619e-06,-0.0209149
1.7268119e-06,-0.0209912
1.7268619e-06,-0.0187787
1.7269119e-06,-0.0167742
1.7269619e-06,-0.0165731
1.7270119e-06,-0.0172944
1.7270619e-06,-0.0177869
1.7271119e-06,-0.0184388
1.7271619e-06,-0.0199994
1.7272119e-06,-0.0215461
1.7272619e-06,-0.0212895
1.7273119e-06,-0.0187787
1.7273619e-06,-0.0154634
1.7274119e-06,-0.0131537
1.7274619e-06,-0.0124948
1.7275119e-06,-0.0129803
1.7275619e-06,-0.0140068
1.7276119e-06,-0.0153385
1.7276619e-06,-0.0166702
1.7277119e-06,-0.0173222
1.7277619e-06,-0.016913
1.7278119e-06,-0.015831
1.7278619e-06,-0.0150125
1.7279119e-06,-0.0149501
1.7279619e-06,-0.0154218
1.7280119e-06,-0.0161292
1.7280619e-06,-0.0170447
1.7281119e-06,-0.0179186
1.7281619e-06,-0.0179811
1.7282119e-06,-0.0168644
1.7282619e-06,-0.0153801
1.7283119e-06,-0.0147559
1.7283619e-06,-0.0154911
1.7284119e-06,-0.0170447
1.7284619e-06,-0.0183556
1.7285119e-06,-0.0186192
1.7285619e-06,-0.0181198
1.7286119e-06,-0.0183556
1.7286619e-06,-0.0199925
1.7287119e-06,-0.0212548
1.7287619e-06,-0.020152
1.7288119e-06,-0.0180643
1.7288619e-06,-0.0183972
1.7289119e-06,-0.0213241
1.7289619e-06,-0.0228708
1.7290119e-06,-0.0206097
1.7290619e-06,-0.0173985
1.7291119e-06,-0.0171418
1.7291619e-06,-0.0190422
1.7292119e-06,-0.019174
1.7292619e-06,-0.0167465
1.7293119e-06,-0.0152345
1.7293619e-06,-0.0169407
1.7294119e-06,-0.0197705
1.7294619e-06,-0.0205612
1.7295119e-06,-0.0192434
1.7295619e-06,-0.0177453
1.7296119e-06,-0.0167812
1.7296619e-06,-0.0159766
1.7297119e-06,-0.0158102
1.7297619e-06,-0.016913
1.7298119e-06,-0.0180643
1.7298619e-06,-0.0174539
1.7299119e-06,-0.0159073
1.7299619e-06,-0.0162124
1.7300119e-06,-0.0186746
1.7300619e-06,-0.0201728
1.7301119e-06,-0.0184388
1.7301619e-06,-0.0155119
1.7302119e-06,-0.014964
1.7302619e-06,-0.0172528
1.7303119e-06,-0.0195069
1.7303619e-06,-0.0194376
1.7304119e-06,-0.0178077
1.7304619e-06,-0.0169268
1.7305119e-06,-0.0177314
1.7305619e-06,-0.0188619
1.7306119e-06,-0.0187371
1.7306619e-06,-0.0177869
1.7307119e-06,-0.0174886
1.7307619e-06,-0.0177522
1.7308119e-06,-0.0169892
1.7308619e-06,-0.0150195
1.7309119e-06,-0.0140346
1.7309619e-06,-0.0158032
1.7310119e-06,-0.019285
1.7310619e-06,-0.0215183
1.7311119e-06,-0.0206305
1.7311619e-06,-0.0174678
1.7312119e-06,-0.0147906
1.7312619e-06,-0.0145756
1.7313119e-06,-0.0161986
1.7313619e-06,-0.0174193
1.7314119e-06,-0.0168644
1.7314619e-06,-0.0153524
1.7315119e-06,-0.01486
1.7315619e-06,-0.0162749
1.7316119e-06,-0.0182446
1.7316619e-06,-0.0186538
1.7317119e-06,-0.0172875
1.7317619e-06,-0.0161431
1.7318119e-06,-0.01658
1.7318619e-06,-0.0175788
1.7319119e-06,-0.017551
1.7319619e-06,-0.0166216
1.7320119e-06,-0.0162124
1.7320619e-06,-0.0169199
1.7321119e-06,-0.0177314
1.7321619e-06,-0.0172806
1.7322119e-06,-0.0156784
1.7322619e-06,-0.0147629
1.7323119e-06,-0.0160252
1.7323619e-06,-0.0185775
1.7324119e-06,-0.0199508
1.7324619e-06,-0.019181
1.7325119e-06,-0.0179603
1.7325619e-06,-0.0181961
1.7326119e-06,-0.0193474
1.7326619e-06,-0.019396
1.7327119e-06,-0.0179395
1.7327619e-06,-0.0167187
1.7328119e-06,-0.0169754
1.7328619e-06,-0.0176828
1.7329119e-06,-0.0172736
1.7329619e-06,-0.0160321
1.7330119e-06,-0.0155674
1.7330619e-06,-0.0165107
1.7331119e-06,-0.0178077
1.7331619e-06,-0.0182446
1.7332119e-06,-0.0176828
1.7332619e-06,-0.0171626
1.7333119e-06,-0.0179811
1.7333619e-06,-0.0203947
1.7334119e-06,-0.0227044
1.7334619e-06,-0.0225587
1.7335119e-06,-0.0197358
1.7335619e-06,-0.0168575
1.7336119e-06,-0.01658
1.7336619e-06,-0.018633
1.7337119e-06,-0.0203254
1.7337619e-06,-0.0195555
1.7338119e-06,-0.017017
1.7338619e-06,-0.0155258
1.7339119e-06,-0.0169199
1.7339619e-06,-0.0197011
1.7340119e-06,-0.0203392
1.7340619e-06,-0.017877
1.7341119e-06,-0.0155258
1.7341619e-06,-0.0164621
1.7342119e-06,-0.0192642
1.7342619e-06,-0.0197428
1.7343119e-06,-0.0166771
1.7343619e-06,-0.0135075
1.7344119e-06,-0.013882
1.7344619e-06,-0.0173499
1.7345119e-06,-0.0204294
1.7345619e-06,-0.0207623
1.7346119e-06,-0.0189868
1.7346619e-06,-0.0170517
1.7347119e-06,-0.0161223
1.7347619e-06,-0.0161916
1.7348119e-06,-0.0166563
1.7348619e-06,-0.0170586
1.7349119e-06,-0.0172875
1.7349619e-06,-0.0175164
1.7350119e-06,-0.0179256
1.7350619e-06,-0.0184666
1.7351119e-06,-0.0189937
1.7351619e-06,-0.0192156
1.7352119e-06,-0.0186053
1.7352619e-06,-0.0170447
1.7353119e-06,-0.0155674
1.7353619e-06,-0.0156506
1.7354119e-06,-0.0172667
1.7354619e-06,-0.0183279
1.7355119e-06,-0.0170378
1.7355619e-06,-0.0143398
1.7356119e-06,-0.0131676
1.7356619e-06,-0.0151443
1.7357119e-06,-0.0185082
1.7357619e-06,-0.0201658
1.7358119e-06,-0.0191602
1.7358619e-06,-0.0173846
1.7359119e-06,-0.0166841
1.7359619e-06,-0.0168713
1.7360119e-06,-0.0167812
1.7360619e-06,-0.0161431
1.7361119e-06,-0.0156645
1.7361619e-06,-0.0158656
1.7362119e-06,-0.0164274
1.7362619e-06,-0.0165731
1.7363119e-06,-0.0160252
1.7363619e-06,-0.0154426
1.7364119e-06,-0.0156298
1.7364619e-06,-0.0163373
1.7365119e-06,-0.0164136
1.7365619e-06,-0.0153247
1.7366119e-06,-0.0142635
1.7366619e-06,-0.0151166
1.7367119e-06,-0.0179603
1.7367619e-06,-0.0202421
1.7368119e-06,-0.0195763
1.7368619e-06,-0.0168991
1.7369119e-06,-0.0153663
1.7369619e-06,-0.0163095
1.7370119e-06,-0.0181406
1.7370619e-06,-0.0193405
1.7371119e-06,-0.0200549
1.7371619e-06,-0.0204017
1.7372119e-06,-0.0194237
1.7372619e-06,-0.0170378
1.7373119e-06,-0.0151443
1.7373619e-06,-0.015394
1.7374119e-06,-0.0169546
1.7374619e-06,-0.017669
1.7375119e-06,-0.016906
1.7375619e-06,-0.0160113
1.7376119e-06,-0.0162887
