LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,28-Sep-2023 14:02:47,0                 
Time,Ampl
1.7119788e-06,-0.011598
1.7120288e-06,-0.00222079
1.7120788e-06,-0.00521706
1.7121288e-06,-0.0171744
1.7121788e-06,-0.0224456
1.7122288e-06,-0.0135678
1.7122788e-06,0.000719993
1.7123288e-06,0.00768355
1.7123788e-06,0.00402144
1.7124288e-06,-0.00496737
1.7124788e-06,-0.0128465
1.7125288e-06,-0.0154821
1.7125788e-06,-0.011487
1.7126288e-06,-0.00455123
1.7126788e-06,-0.0026092
1.7127288e-06,-0.00971147
1.7127788e-06,-0.0197545
1.7128288e-06,-0.0222792
1.7128788e-06,-0.0151214
1.7129288e-06,-0.00760298
1.7129788e-06,-0.00929532
1.7130288e-06,-0.0180899
1.7130788e-06,-0.0224456
1.7131288e-06,-0.0157318
1.7131788e-06,-0.00496737
1.7132288e-06,-0.00202659
1.7132788e-06,-0.00804687
1.7133288e-06,-0.0125968
1.7133788e-06,-0.00874046
1.7134288e-06,-0.00249822
1.7134788e-06,-0.00374667
1.7135288e-06,-0.0117645
1.7135788e-06,-0.0166473
1.7136288e-06,-0.0135955
1.7136788e-06,-0.00868497
1.7137288e-06,-0.00904563
1.7137788e-06,-0.0134568
1.7138288e-06,-0.016675
1.7138788e-06,-0.0171467
1.7139288e-06,-0.0152879
1.7139788e-06,-0.0100166
1.7140288e-06,-0.00188787
1.7140788e-06,0.00357755
1.7141288e-06,0.0019407
1.7141788e-06,-0.00352472
1.7142288e-06,-0.0060771
1.7142788e-06,-0.00396862
1.7143288e-06,-0.000722656
1.7143788e-06,0.000498047
1.7144288e-06,-0.00124978
1.7144788e-06,-0.00554998
1.7145288e-06,-0.00976696
1.7145788e-06,-0.00985019
1.7146288e-06,-0.00543901
1.7146788e-06,-0.00252597
1.7147288e-06,-0.00646551
1.7147788e-06,-0.0133458
1.7148288e-06,-0.0131516
1.7148788e-06,-0.00316406
1.7149288e-06,0.00618541
1.7149788e-06,0.00305043
1.7150288e-06,-0.0104883
1.7150788e-06,-0.0202539
1.7151288e-06,-0.016786
1.7151788e-06,-0.00554998
1.7152288e-06,0.000664506
1.7152788e-06,-0.00471768
1.7153288e-06,-0.0171467
1.7153788e-06,-0.0266903
1.7154288e-06,-0.0266626
1.7154788e-06,-0.0180344
1.7155288e-06,-0.00732555
1.7155788e-06,-0.000611683
1.7156288e-06,0.000248358
1.7156788e-06,-0.00294212
1.7157288e-06,-0.00649325
1.7157788e-06,-0.0069094
1.7158288e-06,-0.0040241
1.7158788e-06,-0.00180464
1.7159288e-06,-0.00391313
1.7159788e-06,-0.00871271
1.7160288e-06,-0.0112651
1.7160788e-06,-0.00965598
1.7161288e-06,-0.00688166
1.7161788e-06,-0.00546675
1.7162288e-06,-0.00358021
1.7162788e-06,0.000636763
1.7163288e-06,0.00368852
1.7163788e-06,0.000803223
1.7164288e-06,-0.00527255
1.7164788e-06,-0.00707586
1.7165288e-06,-0.00455123
1.7165788e-06,-0.00563321
1.7166288e-06,-0.0128187
1.7166788e-06,-0.0178125
1.7167288e-06,-0.0141226
1.7167788e-06,-0.00702037
1.7168288e-06,-0.00510609
1.7168788e-06,-0.00801913
1.7169288e-06,-0.00899015
1.7169788e-06,-0.00585516
1.7170288e-06,-0.00263694
1.7170788e-06,-0.00224854
1.7171288e-06,-0.00355247
1.7171788e-06,-0.00566096
1.7172288e-06,-0.00954501
1.7172788e-06,-0.013873
1.7173288e-06,-0.0142336
1.7173788e-06,-0.00968373
1.7174288e-06,-0.00554998
1.7174788e-06,-0.00660423
1.7175288e-06,-0.0102941
1.7175788e-06,-0.0110709
1.7176288e-06,-0.00862948
1.7176788e-06,-0.00746427
1.7177288e-06,-0.00901789
1.7177788e-06,-0.00907338
1.7178288e-06,-0.004468
1.7178788e-06,0.00146906
1.7179288e-06,0.00302268
1.7179788e-06,-0.00122203
1.7180288e-06,-0.0075475
1.7180788e-06,-0.011487
1.7181288e-06,-0.0105993
1.7181788e-06,-0.00596613
1.7182288e-06,-0.00252597
1.7182788e-06,-0.0050506
1.7183288e-06,-0.0122361
1.7183788e-06,-0.0169802
1.7184288e-06,-0.0148995
1.7184788e-06,-0.00973921
1.7185288e-06,-0.00829656
1.7185788e-06,-0.0119309
1.7186288e-06,-0.0150104
1.7186788e-06,-0.0111541
1.7187288e-06,-0.00172141
1.7187788e-06,0.00407693
1.7188288e-06,0.000387074
1.7188788e-06,-0.0067152
1.7189288e-06,-0.00835205
1.7189788e-06,-0.00665971
1.7190288e-06,-0.0100166
1.7190788e-06,-0.0174796
1.7191288e-06,-0.0192551
1.7191788e-06,-0.0131239
1.7192288e-06,-0.00860174
1.7192788e-06,-0.0121251
1.7193288e-06,-0.0170357
1.7193788e-06,-0.0140394
1.7194288e-06,-0.00493963
1.7194788e-06,0.000109641
1.7195288e-06,-0.00405185
1.7195788e-06,-0.0121529
1.7196288e-06,-0.0151491
1.7196788e-06,-0.00907338
1.7197288e-06,0.00199618
1.7197788e-06,0.00945912
1.7198288e-06,0.00737837
1.7198788e-06,-0.00186013
1.7199288e-06,-0.0096005
1.7199788e-06,-0.0110154
1.7200288e-06,-0.0107657
1.7200788e-06,-0.0152601
1.7201288e-06,-0.0216688
1.7201788e-06,-0.020781
1.7202288e-06,-0.0106825
1.7202788e-06,-0.00102783
1.7203288e-06,-0.00147172
1.7203788e-06,-0.0100999
1.7204288e-06,-0.0171189
1.7204788e-06,-0.0170912
1.7205288e-06,-0.0130684
1.7205788e-06,-0.0100999
1.7206288e-06,-0.00879594
1.7206788e-06,-0.00646551
1.7207288e-06,-0.00222079
1.7207788e-06,0.00060902
1.7208288e-06,-0.0028034
1.7208788e-06,-0.0125135
1.7209288e-06,-0.020781
1.7209788e-06,-0.0190055
1.7210288e-06,-0.00915661
1.7210788e-06,-0.00305309
1.7211288e-06,-0.00763073
1.7211788e-06,-0.0159814
1.7212288e-06,-0.0178957
1.7212788e-06,-0.0134013
1.7213288e-06,-0.00937855
1.7213788e-06,-0.00763073
1.7214288e-06,-0.00471768
1.7214788e-06,-0.00127752
1.7215288e-06,-0.00191562
1.7215788e-06,-0.00638228
1.7216288e-06,-0.00962824
1.7216788e-06,-0.0114593
1.7217288e-06,-0.0176738
1.7217788e-06,-0.0275504
1.7218288e-06,-0.0287433
1.7218788e-06,-0.0130961
1.7219288e-06,0.00704545
1.7219788e-06,0.00957009
1.7220288e-06,-0.00948952
